energy (keV); transmission
1.0; 0.0
1.1; 0.0
1.2000000000000002; 0.0
1.3000000000000003; 0.0
1.4000000000000004; 0.0
1.5000000000000004; 0.0
1.6000000000000005; 0.0
1.7000000000000006; 0.0
1.8000000000000007; 0.0
1.9000000000000008; 0.0
2.000000000000001; 0.0
2.100000000000001; 0.0
2.200000000000001; 0.0
2.300000000000001; 0.0
2.4000000000000012; 0.0
2.5000000000000013; 0.0
2.6000000000000014; 0.0
2.7000000000000015; 0.0
2.8000000000000016; 0.0
2.9000000000000017; 0.0
3.0000000000000018; 0.0
3.100000000000002; 0.0
3.200000000000002; 0.0
3.300000000000002; 0.0
3.400000000000002; 0.0
3.500000000000002; 0.0
3.6000000000000023; 0.0
3.7000000000000024; 0.0
3.8000000000000025; 0.0
3.9000000000000026; 0.0
4.000000000000003; 0.0
4.100000000000003; 0.0
4.200000000000003; 0.0
4.3000000000000025; 0.0
4.400000000000003; 0.0
4.5000000000000036; 1.0659690723501818e-306
4.600000000000003; 3.797537095786668e-289
4.700000000000003; 5.930822329148694e-273
4.800000000000003; 5.488757769388011e-258
4.900000000000004; 3.9307886607664695e-244
5.0000000000000036; 6.432304642053156e-238
5.100000000000003; 1.0244345307035798e-225
5.200000000000004; 2.6630445387931385e-214
5.300000000000004; 1.284015295544619e-203
5.400000000000004; 1.2886528605724076e-193
5.5000000000000036; 2.992457488551384e-184
5.600000000000004; 1.77387326044531e-175
5.700000000000005; 2.9426214553155855e-167
5.800000000000004; 1.4890577424898717e-159
5.900000000000004; 2.4922840951705113e-152
6.000000000000004; 1.0784767197746078e-251
6.100000000000005; 7.198406648739658e-246
6.200000000000005; 2.0402077383901394e-239
6.300000000000004; 1.880611342806563e-232
6.400000000000005; 4.267678018312075e-225
6.500000000000005; 1.812692660584897e-217
6.600000000000005; 1.0773226990154123e-209
6.700000000000005; 7.581797842983997e-202
6.800000000000005; 4.9717098582448734e-194
6.900000000000006; 2.549889121875201e-186
7.000000000000005; 8.85077381487879e-179
7.100000000000005; 1.8517942081522284e-171
7.2000000000000055; 1.0507785663865222e-242
7.300000000000006; 2.109969111040999e-233
7.400000000000006; 1.625194607321557e-224
7.500000000000005; 4.758696429714394e-216
7.600000000000006; 5.3141014495712624e-208
7.700000000000006; 2.2927349230997156e-200
7.800000000000006; 3.90043457192715e-193
7.900000000000006; 2.6848892375228673e-186
8.000000000000007; 7.702627247906096e-180
8.100000000000007; 9.928010242650058e-174
8.200000000000006; 5.903016003912033e-168
8.300000000000006; 1.7281110986423427e-162
8.400000000000006; 0.0
8.500000000000007; 0.0
8.600000000000007; 4.19e-321
8.700000000000006; 7.710654675126e-312
8.800000000000008; 5.84210300176306e-303
8.900000000000007; 1.9284566576590804e-294
9.000000000000007; 2.9210749411723906e-286
9.100000000000007; 2.129266593095655e-278
9.200000000000006; 7.802952374253873e-271
9.300000000000008; 1.4966091057051165e-263
9.400000000000007; 1.5591775162077624e-256
9.500000000000007; 9.130713972534721e-250
9.600000000000009; 3.102420645347679e-243
9.700000000000008; 6.298385236176676e-237
9.800000000000008; 7.850666789116859e-231
9.900000000000007; 6.161675666619988e-225
10.000000000000007; 3.1174077747778626e-219
10.100000000000009; 1.0460903524634807e-213
10.200000000000008; 2.346741787191679e-208
10.300000000000008; 3.570818512098222e-203
10.40000000000001; 3.736989577946045e-198
10.500000000000009; 2.726097985502317e-193
10.600000000000009; 1.4041635417800898e-188
10.700000000000008; 5.170441719970653e-184
10.800000000000008; 1.3773442536751943e-179
10.90000000000001; 2.6849455688194633e-175
11.000000000000009; 3.8724833113926876e-171
11.100000000000009; 4.176425957874325e-167
11.20000000000001; 3.4025578340238913e-163
11.30000000000001; 2.1146924353267509e-159
11.40000000000001; 1.0120992457930272e-155
11.500000000000009; 3.7641814362072755e-152
11.600000000000009; 1.097430931713212e-148
11.70000000000001; 2.5292215760585343e-145
11.80000000000001; 4.645209418585556e-142
11.90000000000001; 6.851813046271891e-139
12.00000000000001; 8.17773710254559e-136
12.10000000000001; 7.954474922388252e-133
12.20000000000001; 6.349600876796856e-130
12.30000000000001; 4.1872689225169576e-127
12.40000000000001; 2.295881286349986e-124
12.50000000000001; 1.0531318266457133e-121
12.60000000000001; 4.065476529835021e-119
12.70000000000001; 1.3283738554900424e-116
12.800000000000011; 3.694042715046212e-114
12.900000000000011; 8.789422604778992e-112
13.00000000000001; 1.7985178358899778e-109
13.10000000000001; 3.1805530058264066e-107
13.20000000000001; 4.884084215062802e-105
13.300000000000011; 6.542445450847339e-103
13.400000000000011; 7.678653367821974e-101
13.50000000000001; 7.929760295990568e-99
13.600000000000012; 7.235031440971447e-97
13.700000000000012; 5.8551410599898125e-95
13.800000000000011; 4.2189122158379445e-93
13.900000000000011; 2.7165657773271854e-91
14.00000000000001; 1.5686646822022752e-89
14.100000000000012; 8.150965584079325e-88
14.200000000000012; 3.823696441662457e-86
14.300000000000011; 1.6245348408847272e-84
14.400000000000013; 6.270082612244232e-83
14.500000000000012; 2.2049400299433084e-81
14.600000000000012; 7.084927398633305e-80
14.700000000000012; 2.085843949095449e-78
14.800000000000011; 5.641404196268363e-77
14.900000000000013; 1.405280211347716e-75
15.000000000000012; 3.232078525130097e-74
15.100000000000012; 6.890503387457768e-73
15.200000000000014; 1.3628036338897227e-71
15.300000000000013; 2.5064051755697882e-70
15.400000000000013; 4.296240083901502e-69
15.500000000000012; 6.878460154975143e-68
15.600000000000012; 1.0307888403574091e-66
15.700000000000014; 1.4487725058055654e-65
15.800000000000013; 1.9134901671747703e-64
