thickness (mm);transmission
0.1;0.7121020798014402
0.12000000000000001;0.6725976188647881
0.14;0.6366386300332677
0.16000000000000003;0.603741077434297
0.18000000000000002;0.5735120951605894
0.2;0.5456279984566647
0.22000000000000003;0.5198187756747318
0.24000000000000002;0.49585679126015214
0.26;0.4735483576602395
0.28;0.45272732630980633
0.30000000000000004;0.43325013505474647
0.32000000000000006;0.4149919274124994
0.3400000000000001;0.39784347415431814
0.3600000000000001;0.38170870444221544
0.38;0.36650270621242154
0.4;0.3521500920967329
0.42000000000000004;0.33858365316330136
0.44000000000000006;0.32574324150563677
0.4600000000000001;0.3135748364231242
0.4800000000000001;0.3020297590986621
0.5000000000000001;0.29106400829825557
0.5200000000000001;0.28063769539215633
0.54;0.27071456141796413
0.56;0.2612615623220076
0.5800000000000001;0.25224851117756786
0.6000000000000001;0.24364776827005935
0.6200000000000001;0.23543397159484658
0.6400000000000001;0.22758380163297687
0.66;0.22007577532886585
0.68;0.21289006504863622
0.7000000000000001;0.20600833899175974
0.7200000000000001;0.1994136200951448
0.7400000000000001;0.1930901609336641
0.7600000000000001;0.1870233325044158
0.7800000000000001;0.18119952509952458
0.8000000000000002;0.17560605973646404
0.8200000000000002;0.1702311088355955
0.8400000000000001;0.16506362501975153
0.8600000000000001;0.16009327706657622
0.8800000000000001;0.15531039217605996
0.9000000000000001;0.15070590382740165
0.9200000000000002;0.14627130459437065
0.9400000000000002;0.14199860336944153
0.9600000000000002;0.13788028651641823
0.9800000000000001;0.13390928253087972
1.0000000000000002;0.1300789298391141
1.0200000000000002;0.12638294741052944
1.0400000000000003;0.12281540789689119
1.0600000000000003;0.11937071304503089
1.0800000000000003;0.11604357115863191
1.1000000000000003;0.11282897640994874
1.1200000000000003;0.1097221898243881
1.1400000000000003;0.10671872178020629
1.1600000000000004;0.1038143158825432
1.1800000000000004;0.10100493408593138
1.2000000000000004;0.0982867429525671
1.2200000000000002;0.09565610094523862
1.2400000000000002;0.0931095466640733
1.2600000000000002;0.09064378794536512
1.2800000000000002;0.08825569174882048
1.3000000000000003;0.08594227476674184
1.3200000000000003;0.08370069469506626
1.3400000000000003;0.081528242111881
1.3600000000000003;0.07942233291413768
1.3800000000000003;0.07738050126784883
1.4000000000000004;0.07540039303113766
1.4200000000000004;0.0734797596131836
1.4400000000000004;0.07161645223539999
1.4600000000000004;0.06980841656415067
1.4800000000000004;0.06805368768698387
1.5000000000000004;0.06635038540677475
1.5200000000000005;0.06469670983034757
1.5400000000000005;0.06309093723011885
1.5600000000000003;0.06153141615908839
1.5800000000000003;0.06001656380112297
1.6000000000000003;0.05854486253994671
1.6200000000000003;0.05711485673158639
1.6400000000000003;0.0557251496662344
1.6600000000000004;0.05437440070659754
1.6800000000000004;0.05306132259080779
1.7000000000000004;0.05178467888889008
1.7200000000000004;0.05054328160262372
1.7400000000000004;0.04933598889939964
1.7600000000000005;0.04816170297138128
1.7800000000000005;0.047019368011917986
1.8000000000000005;0.04590796830175203
1.8200000000000005;0.04482652639810096
1.8400000000000005;0.0437741014201945
1.8600000000000003;0.04274978742530322
1.8800000000000003;0.04175271186971564
1.9000000000000004;0.04078203414950906
1.9200000000000004;0.03983694421631528
1.9400000000000004;0.03891666126361264
1.9600000000000004;0.038020432479378176
1.9800000000000004;0.037147531861216075
2.0000000000000004;0.03629725909033619
2.0200000000000005;0.035468938460997856
2.0400000000000005;0.034661917862255
2.0600000000000005;0.03387556780904541
2.0800000000000005;0.03310928051985667
2.1000000000000005;0.03236246903837911
2.1200000000000006;0.03163456639671952
2.1400000000000006;0.030925024817902255
2.1600000000000006;0.03023331495552598
2.1800000000000006;0.02955892516857621
2.2000000000000006;0.028901360829516134
2.2200000000000006;0.02826014366389269
2.2400000000000007;0.02763481111980142
2.2600000000000007;0.027024915765651948
2.2800000000000007;0.026430024714769736
2.3000000000000007;0.0258497190754549
2.3200000000000007;0.025283593425200233
2.3400000000000003;0.024731255307845756
2.3600000000000003;0.02419232475251715
2.3800000000000003;0.023666433813262035
2.4000000000000004;0.023153226128358902
2.4200000000000004;0.022652356498331794
2.4400000000000004;0.02216349048175762
2.4600000000000004;0.021686304008003653
2.4800000000000004;0.021220483006080502
2.5000000000000004;0.0207657230488401
2.5200000000000005;0.020321729011790267
2.5400000000000005;0.0198882147458369
2.5600000000000005;0.019464902763301015
2.5800000000000005;0.01905152393659378
2.6000000000000005;0.018647817208963864
2.6200000000000006;0.01825352931676334
2.6400000000000006;0.017868414522706464
2.6600000000000006;0.017492234359623375
2.6800000000000006;0.017124757384235818
2.7000000000000006;0.016765758940506754
2.7200000000000006;0.016415020932137914
2.7400000000000007;0.016072331603811288
2.7600000000000007;0.015737485330790297
2.7800000000000007;0.015410282416515967
2.8000000000000007;0.015090528897851245
2.8200000000000007;0.014778036357643484
2.8400000000000007;0.014472621744291654
2.8600000000000008;0.014174107198019582
2.880000000000001;0.013882319883571298
2.900000000000001;0.013597091829057929
2.920000000000001;0.013318259770698638
2.940000000000001;0.013045665003210107
2.960000000000001;0.012779153235610945
2.980000000000001;0.012518574452217868
3.0000000000000004;0.012263782778621373
3.0200000000000005;0.012014636352438044
3.0400000000000005;0.011770997198646238
