voltage (kV); t_archimedes (%); t_theoretical (%); dt (%)
40.0;3.3708198961239173;3.0789206749723435;0.29189922115157374
42.0;4.496787058787044;4.142442003995141;0.3543450547919026
44.0;5.688884872171957;5.276798751078455;0.4120861210935016
46.0;7.05475784464958;6.583925940397363;0.4708319042522169
48.0;8.447833660193053;7.92502699881467;0.5228066613783833
50.0;9.88444898648914;9.314721029554166;0.5697279569349747
52.0;11.364786288206131;10.751743620133702;0.613042668072429
54.0;12.787592504946572;12.138917555510593;0.6486749494359776
56.0;14.242308112758737;13.560564946186474;0.6817431665722629
58.0;15.673712680415392;14.963019686053597;0.7106929943617946
60.0;17.080116614528425;16.344671736783553;0.735444877744873
62.0;18.401716252623107;17.646453523740888;0.7552627288822195
64.0;19.73465388666343;18.961323918496525;0.7733299681669054
66.0;21.010066761057324;20.221670455199455;0.7883963058578664
68.0;22.214331104854843;21.41327057368309;0.8010605311717545
70.0;23.337918577566114;22.527027205914603;0.8108913716515093
72.0;24.396091117111045;23.576429804349523;0.8196613127615243
74.0;25.39054738735544;24.562642242554602;0.8279051448008362
76.0;26.27252085053397;25.43856619545278;0.8339546550811927
78.0;27.072956219004297;26.234754854601444;0.8382013644028519
80.0;27.86326075477416;27.02076720736215;0.8424935474120099
82.0;28.64711118048435;27.80023427601784;0.8468769044665148
84.0;29.342475766626073;28.49352341811542;0.8489523485106565
86.0;30.04556371171186;29.19422611699606;0.8513375947158008
88.0;30.679410058892962;29.826932838283827;0.852477220609138
90.0;31.325709774722903;30.471127777989388;0.8545819967335166
92.0;31.929755012646428;31.074488361312863;0.8552666513335638
94.0;32.524475048089066;31.668598956187598;0.8558760919014696
96.0;33.04593215526135;32.190474959365304;0.8554571958960477
98.0;33.61172826729628;32.75632033004893;0.8554079372473489
100.0;34.08548396751686;33.230421453563814;0.8550625139530421
102.0;34.57684015193198;33.722354220210924;0.8544859317210551
104.0;35.04151305400237;34.18762124409053;0.8538918099118442
106.0;35.47448232679494;34.62202222866597;0.8524600981289765
108.0;35.86804804664756;35.016523042336964;0.8515250043105937
110.0;36.2818574545173;35.43133060938477;0.8505268451325321
112.0;36.676861784423764;35.82752038205542;0.8493414023683477
114.0;37.07192906914558;36.223868193831585;0.848060875313994
116.0;37.40651428205167;36.559656789555476;0.8468574924961891
118.0;37.741423192839385;36.896414313150586;0.8450088796888022
120.0;38.04565190164249;37.20229149909719;0.8433604025453012
122.0;38.348412893674485;37.50668391083526;0.8417289828392294
124.0;38.61511379170343;37.77491358388495;0.8402002078184756
126.0;38.91125134166174;38.07238950791644;0.8388618337452969
128.0;39.1721218820294;38.33559412131354;0.836527760715855
130.0;39.446935360593386;38.611565883777594;0.8353694768157949
132.0;39.67385855431208;38.8405855135815;0.8332730407305755
134.0;39.8918387056946;39.05979483047787;0.832043875216737
136.0;40.12344152996146;39.2929406998515;0.8305008301099648
138.0;40.33059178346113;39.50179597864402;0.8287958048171118
140.0;40.519389500668254;39.692151534310824;0.8272379663574303
142.0;40.69130416257435;39.86583780332155;0.8254663592528022
144.0;40.86672124624359;40.04270906318658;0.8240121830570157
146.0;41.057140811761904;40.23459759113444;0.8225432206274697
148.0;41.229211433451816;40.40839412625091;0.8208173072009051
150.0;41.3828062708117;40.56321926576904;0.8195870050426601
152.0;41.51731065433955;40.69950777709386;0.8178028772456936
154.0;41.652994328736504;40.83661796720462;0.8163763615318842
156.0;41.79269174832497;40.977976566672226;0.814715181652742
158.0;41.92619751322964;41.1127702867844;0.8134272264452402
160.0;42.06276238943309;41.25067323277774;0.812089156655349
