energy (keV); transmission
1.0; 0.0
1.1; 0.0
1.2000000000000002; 0.0
1.3000000000000003; 0.0
1.4000000000000004; 0.0
1.5000000000000004; 0.0
1.6000000000000005; 0.0
1.7000000000000006; 0.0
1.8000000000000007; 0.0
1.9000000000000008; 0.0
2.000000000000001; 0.0
2.100000000000001; 0.0
2.200000000000001; 0.0
2.300000000000001; 0.0
2.4000000000000012; 0.0
2.5000000000000013; 0.0
2.6000000000000014; 0.0
2.7000000000000015; 0.0
2.8000000000000016; 0.0
2.9000000000000017; 0.0
3.0000000000000018; 0.0
3.100000000000002; 0.0
3.200000000000002; 0.0
3.300000000000002; 0.0
3.400000000000002; 0.0
3.500000000000002; 4.7446977e-317
3.6000000000000023; 1.072671438122952e-293
3.7000000000000024; 1.224247007658777e-272
3.8000000000000025; 1.3440947937606588e-253
3.9000000000000026; 2.4644792282874587e-236
4.000000000000003; 1.2122653842508466e-220
4.100000000000003; 3.401586041429141e-206
4.200000000000003; 5.200111001036995e-193
4.3000000000000025; 5.927953450442439e-181
4.400000000000003; 6.627102945241836e-170
4.5000000000000036; 9.23455175686224e-160
4.600000000000003; 1.9798152475609296e-150
4.700000000000003; 7.860823983771797e-142
4.800000000000003; 6.808257095872712e-134
4.900000000000004; 1.486816571802036e-126
5.0000000000000036; 0.0
5.100000000000003; 0.0
5.200000000000004; 0.0
5.300000000000004; 0.0
5.400000000000004; 0.0
5.5000000000000036; 0.0
5.600000000000004; 0.0
5.700000000000005; 0.0
5.800000000000004; 0.0
5.900000000000004; 0.0
6.000000000000004; 0.0
6.100000000000005; 0.0
6.200000000000005; 0.0
6.300000000000004; 0.0
6.400000000000005; 0.0
6.500000000000005; 0.0
6.600000000000005; 0.0
6.700000000000005; 0.0
6.800000000000005; 0.0
6.900000000000006; 0.0
7.000000000000005; 0.0
7.100000000000005; 0.0
7.2000000000000055; 0.0
7.300000000000006; 0.0
7.400000000000006; 1.00957801497e-313
7.500000000000005; 2.269208936104115e-303
7.600000000000006; 1.7743946428679817e-293
7.700000000000006; 5.302672907098146e-284
7.800000000000006; 6.580033479382963e-275
7.900000000000006; 3.648000552890154e-266
8.000000000000007; 9.639995169234033e-258
8.100000000000007; 1.2793432570498185e-249
8.200000000000006; 8.720717124310429e-242
8.300000000000006; 3.1078757819590347e-234
8.400000000000006; 5.897184733839463e-227
8.500000000000007; 6.069806209519058e-220
8.600000000000007; 3.453218826544689e-213
8.700000000000006; 1.1066170841898143e-206
8.800000000000008; 2.0355703794970712e-200
8.900000000000007; 2.1899176033630442e-194
9.000000000000007; 1.4036904588460917e-188
9.100000000000007; 5.459448659769136e-183
9.200000000000006; 1.3117505275007997e-177
9.300000000000008; 1.9815715473163005e-172
9.400000000000007; 1.9146071708967922e-167
9.500000000000007; 1.203174220053442e-162
9.600000000000009; 4.998349201845805e-158
9.700000000000008; 1.3945698061816183e-153
9.800000000000008; 2.653549764806715e-149
9.900000000000007; 3.494892736201715e-145
10.000000000000007; 3.2321671593335515e-141
10.100000000000009; 2.1287809726765204e-137
10.200000000000008; 1.0144378713684425e-133
10.300000000000008; 3.5511446987816574e-130
10.40000000000001; 9.263501658656742e-127
10.500000000000009; 1.825201509882604e-123
10.600000000000009; 2.7511411279055145e-120
10.700000000000008; 3.210798490228518e-117
10.800000000000008; 2.9346549342035204e-114
10.90000000000001; 2.1233562364724215e-111
11.000000000000009; 1.2286774052829233e-108
11.100000000000009; 5.741092771014833e-106
11.20000000000001; 2.1860757224162125e-103
11.30000000000001; 6.842509434122658e-101
