energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 8748.104068635337; 71297.048159378; 0.0002805165223010613
1.5; 3553.188710826469; 28958.487993235725; 0.0006906437934422441
2.0; 1722.3510318360234; 14037.160909463591; 0.0014247895374994506
3.0; 727.8355029501048; 5931.859349043354; 0.003371624110275887
4.0; 339.0847789379383; 2763.5409483441977; 0.007237091967818749
5.0; 191.4650023622522; 1560.4397692523555; 0.01281689969333612
6.0; 202.58485845421103; 1651.0665964018199; 0.012113381763997969
8.0; 144.58326214451802; 1178.3535864778219; 0.01697283415564707
10.0; 176.38181719566415; 1437.5118101446628; 0.013912929173073936
15.0; 59.32275948994002; 483.4804898430112; 0.041366715762396346
20.0; 30.152358183865044; 245.7417191985001; 0.08138626223187125
30.0; 10.497354096263456; 85.55343588454717; 0.23377202555593024
40.0; 4.698755072429455; 38.29485384030006; 0.5222633851379987
50.0; 2.537877478600973; 20.68370145059793; 0.9669449178508538
60.0; 1.553160905436621; 12.658261379308463; 1.5799958146458046
80.0; 0.7503228437439255; 6.115131176512993; 3.270575793503177
100.0; 0.4541953194252113; 3.7016918533154723; 5.4029348720874
150.0; 0.2229460039671144; 1.8170099323319824; 11.007094482049224
200.0; 0.15820069866364087; 1.289335694108673; 15.511864048583671
