energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 8720.830954947673; 68807.35623453713; 0.0002906665957608935
1.1; 7035.976424476619; 55513.85398912052; 0.0003602704291422382
1.2000000000000002; 5694.791982920982; 44931.90874524655; 0.0004451179698017135
1.3000000000000003; 4688.147262286293; 36989.48189943885; 0.0005406942453093243
1.4000000000000004; 3915.6298812965506; 30894.319763429783; 0.000647368194320122
1.5000000000000004; 3311.4073503423806; 26127.003994201383; 0.0007654915199782873
1.6000000000000005; 2807.0282627579813; 22147.45299316047; 0.000903038376745911
1.7000000000000006; 2403.5144251281313; 18963.728814260954; 0.0010546449063835884
1.8000000000000007; 2076.413295829764; 16382.900904096838; 0.001220785019519873
1.9000000000000008; 1825.4457696182094; 14402.767122287672; 0.0013886220495123362
2.000000000000001; 1601.7179675539883; 12637.554764000966; 0.0015825846355160033
2.100000000000001; 1408.59610323714; 11113.823254541034; 0.0017995607399846074
2.200000000000001; 1246.5549226017033; 9835.31833932744; 0.0020334878150337172
2.300000000000001; 1108.685738559592; 8747.530477235181; 0.0022863595676572445
2.4000000000000012; 990.953021340966; 7818.619338380221; 0.002557996384582062
2.5000000000000013; 889.8796742498427; 7021.150629831258; 0.002848535952928369
2.6000000000000014; 834.7671874766671; 6586.313109190904; 0.0030366002448457695
2.7000000000000015; 771.5105531732056; 6087.218264536592; 0.003285573004095749
2.8000000000000016; 701.2279402019285; 5532.688448193216; 0.003614879129247067
2.9000000000000017; 646.362861404787; 5099.802976483769; 0.003921720131586274
3.0000000000000018; 591.5002714719113; 4666.93714191338; 0.004285465904475472
3.100000000000002; 541.6148819182163; 4273.341418334726; 0.004680178352749961
3.200000000000002; 497.3471860769339; 3924.0692981470083; 0.005096749950222397
3.300000000000002; 457.9153668651622; 3612.9522445661296; 0.005535639179864596
3.400000000000002; 422.6659112137585; 3334.834039476554; 0.005997299944539148
3.500000000000002; 391.04958534308435; 3085.3812283569355; 0.006482181137353533
3.6000000000000023; 362.60238369998774; 2860.932807392903; 0.0069907269224632725
3.7000000000000024; 336.9303775916124; 2658.380679197822; 0.0075233769777604195
3.8000000000000025; 313.6975832775925; 2475.0739320602047; 0.008080566701840854
3.9000000000000026; 292.6161856990047; 2308.741705165147; 0.008662727387501054
4.000000000000003; 273.4386130432911; 2157.430656911567; 0.009270286363980133
4.100000000000003; 255.71066926091225; 2017.5571804685976; 0.009912978027891532
4.200000000000003; 239.52368778616636; 1889.8418966328525; 0.010582895868503164
4.3000000000000025; 224.7116395840423; 1772.9748363180936; 0.011280475949412602
4.400000000000003; 211.12966996878157; 1665.8130960536864; 0.012006148857503899
4.5000000000000036; 198.65100005096303; 1567.3563904020982; 0.012760339717547642
4.600000000000003; 187.1643351846393; 1476.726604606804; 0.01354346832894315
4.700000000000003; 176.57169117348136; 1393.1506433587679; 0.0143559492976163
4.800000000000003; 166.78656373512086; 1315.9459878701036; 0.015198192163168166
4.900000000000004; 157.7323812371309; 1244.5084879609628; 0.0160706015213834
5.0000000000000036; 149.3411771456935; 1178.3018876795218; 0.01697357885031214
5.100000000000003; 141.46421050941242; 1116.1526209192639; 0.017918696444513105
5.200000000000004; 134.1466572245483; 1058.417125501686; 0.018896141717775088
5.300000000000004; 127.33906869381764; 1004.7052519942212; 0.019906335674370536
5.400000000000004; 120.99719198901036; 954.6678447932917; 0.020949694816976346
5.5000000000000036; 115.08134054176264; 907.9917768745072; 0.022026631197965336
5.600000000000004; 109.55585079188916; 864.3956627480054; 0.023137552468065238
5.700000000000005; 104.3886117694179; 823.6261468607072; 0.02428286192252518
5.800000000000004; 99.55065674748475; 785.4546817376547; 0.025462958544920974
5.900000000000004; 95.01580787559558; 749.6747241384492; 0.026678237048720906
6.000000000000004; 166.4327401910242; 1313.1543201071809; 0.015230502381751736
6.100000000000005; 162.83351451560355; 1284.756429528112; 0.015567153073011632
6.200000000000005; 158.74942014503284; 1252.5329249443091; 0.015967644124715727
6.300000000000004; 154.26657298928453; 1217.163260885455; 0.01643164942840167
6.400000000000005; 149.47428978209197; 1179.3521463807056; 0.01695846322184402
6.500000000000005; 144.46017289606445; 1139.7907641499485; 0.01754708024407964
6.600000000000005; 142.08019610076974; 1121.0127472350732; 0.01784101032689333
6.700000000000005; 136.76273521087495; 1079.0579808138034; 0.01853468521211104
6.800000000000005; 131.45072288527248; 1037.1462035647999; 0.01928368433616931
6.900000000000006; 126.19973647497386; 995.7159207875437; 0.020086050230251774
7.000000000000005; 121.05580704003157; 955.130317545849; 0.020939551004295225
7.100000000000005; 116.05589598840103; 915.6810193484841; 0.02184166710611758
7.2000000000000055; 346.3301872174065; 2732.545177145337; 0.007319183656057172
7.300000000000006; 334.107170114081; 2636.105572200099; 0.007586949555782761
7.400000000000006; 322.4209000243095; 2543.900901191802; 0.00786194147367538
7.500000000000005; 311.25591537833856; 2455.8091723350913; 0.008143955249170734
7.600000000000006; 300.5948872011199; 2371.693660016836; 0.008432792285601516
7.700000000000006; 290.41917527099616; 2291.4072928881596; 0.008728260603025048
7.800000000000006; 280.70933369209195; 2214.7966428306054; 0.00903017442469984
7.900000000000006; 271.4455541376673; 2141.705422146195; 0.009338352414478213
8.000000000000007; 262.60804276232307; 2071.977457394729; 0.009652614669441279
8.100000000000007; 254.17231989818572; 2005.4196039966853; 0.009972975211841529
8.200000000000006; 246.11733596593336; 1941.865780771214; 0.010299373004068788
8.300000000000006; 238.419031979332; 1881.1261623169294; 0.010631929107490893
8.400000000000006; 261.64140238258926; 2064.350664798629; 0.009688276483758603
8.500000000000007; 253.7271196170086; 2001.9069737781979; 0.00999047421382124
8.600000000000007; 246.14290799633508; 1942.0675440910836; 0.010298302992010658
8.700000000000006; 238.8699436788698; 1884.6838556262826; 0.01061185935258833
8.800000000000008; 231.890837341316; 1829.6187066229832; 0.010931239349271291
8.900000000000007; 225.1894821677539; 1776.7450143035783; 0.011256539255206126
9.000000000000007; 218.7509239102173; 1725.9447896516144; 0.01158785618167835
9.100000000000007; 212.56124916370385; 1677.1082559016234; 0.011925288620827808
9.200000000000006; 206.60748874199993; 1630.1330861743793; 0.012268936916639304
9.300000000000008; 200.87753363050638; 1584.9237403446953; 0.012618903667661842
9.400000000000007; 195.36006146195663; 1541.3908849348377; 0.012975294064260345
9.500000000000007; 190.04447183659357; 1499.4508827907232; 0.013338216162690658
9.600000000000009; 184.92082910991707; 1459.0253416772455; 0.013707781097899703
9.700000000000008; 179.9798115141811; 1420.040712846889; 0.01408410323666293
9.800000000000008; 175.21266567645503; 1382.4279321872302; 0.014467300272468224
9.900000000000007; 170.6111657557235; 1346.1220978126585; 0.014857493263425666
10.000000000000007; 166.16757652405622; 1311.0621787748034; 0.015254806616944847
