energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 1224.7972303486365; 3233.4646881204003; 0.006185315730670904
1.1; 949.9847345062566; 2507.9596990965174; 0.007974609802224862
1.2000000000000002; 753.3960195104451; 1988.965491507575; 0.010055478632181099
1.3000000000000003; 608.7548874086331; 1607.1129027587913; 0.012444676391850092
1.4000000000000004; 516.5277561838311; 1363.6332763253142; 0.014666699872487355
1.5000000000000004; 430.3845009367683; 1136.2150824730684; 0.017602301103474445
1.6000000000000005; 3396.0546552029264; 8965.584289735725; 0.002230752548152055
1.7000000000000006; 2973.002408571296; 7848.726358628222; 0.0025481841366546943
1.8000000000000007; 2617.592616489352; 6910.44450753189; 0.0028941698291913686
1.9000000000000008; 2600.17370564298; 6864.458582897468; 0.0029135582593256843
2.000000000000001; 2314.9876564871765; 6111.567413126147; 0.0032724829242732245
2.100000000000001; 2062.668603651513; 5445.445113639995; 0.0036727943414401705
2.200000000000001; 1839.8862021742264; 4857.299573739958; 0.004117514206479274
2.300000000000001; 1644.023168467014; 4340.2211647529175; 0.0046080601058813946
2.4000000000000012; 1472.2835732941703; 3886.8286334966097; 0.005145583169692743
2.5000000000000013; 1321.9039133388624; 3489.826331214597; 0.005730944208057257
2.6000000000000014; 1190.278398288631; 3142.334971481986; 0.006364693828477367
2.7000000000000015; 1075.0244635122754; 2838.064583672407; 0.007047055981411227
2.8000000000000016; 974.0088456545491; 2571.3833525280097; 0.007777914553400744
2.9000000000000017; 885.3490985769431; 2337.32162024313; 0.008556802721022015
3.0000000000000018; 807.4008832387793; 2131.5383317503774; 0.009382894833318054
3.100000000000002; 738.700478313516; 1950.1692627476823; 0.010255520062818081
3.200000000000002; 677.870100376191; 1789.5770649931442; 0.011175824942792624
3.300000000000002; 623.7482741577486; 1646.6954437764564; 0.012145536732726307
3.400000000000002; 575.3818952664967; 1519.0082035035514; 0.013166485838503399
3.500000000000002; 531.9827448148167; 1404.434446311116; 0.014240607706918573
