energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 5601.7026000000005; 24479.440362; 0.0008170121417908908
1.5; 2000.096556; 8740.42194972; 0.0022882190488115626
2.0; 1070.4342810000003; 4677.7978079700015; 0.00427551613409287
3.0; 362.3831184; 1583.614227408; 0.012629338417055803
4.0; 165.48824859999996; 723.1836463819999; 0.02765549262633022
5.0; 628.1657764; 2745.084442868; 0.007285750371709683
6.0; 413.3329203; 1806.264861711; 0.011072573255427683
8.0; 193.41201042; 845.2104855354; 0.023662744774552776
10.0; 105.77532057000002; 462.2381508909001; 0.0432677397169679
15.0; 34.255757687999996; 149.69766109655998; 0.13360262180114713
20.0; 15.135617616000001; 66.14264898192; 0.30237676155768983
30.0; 4.751854048; 20.765602189760003; 0.9631312310250488
40.0; 2.119981824; 9.264320570879999; 2.158819942270223
50.0; 1.1648009879999999; 5.09018031756; 3.929133891584235
60.0; 0.7382610929999999; 3.2262009764099995; 6.199241816067913
80.0; 0.393590913; 1.71999228981; 11.627959101031385
100.0; 0.26628540000000006; 1.1636671980000004; 17.187044572859048
150.0; 0.16332094699999997; 0.7137125383899998; 28.022486539351274
200.0; 0.13084525299999997; 0.5717937556099999; 34.97764675422808
