voltage (kV);transmission
40;0.033707348195257475
42;0.04496787058787044
44;0.056888848721719565
46;0.0705475784464958
48;0.0844766830172022
50;0.09884212552241062
52;0.11364709241941653
54;0.1278751937699428
56;0.14242097201007747
58;0.15673233123148944
60;0.1707979488601017
62;0.1840140650009478
64;0.19734536101236103
66;0.21009841789186628
68;0.2221395171086479
70;0.2333766350273554
72;0.24395944565288358
74;0.25390264691158543
76;0.262722531410205
78;0.27072786335884425
80;0.2786313803742375
82;0.2864671464829446
84;0.29342140715487175
86;0.3004542038472919
88;0.30678958892118724
90;0.31325411367685585
92;0.3192937478410648
94;0.32523862667059583
96;0.3304566494228278
98;0.3361147170466823
100;0.34085074398456877
102;0.3457660224935285
104;0.3504123068514569
106;0.3547425670919263
108;0.3586776247718499
110;0.36281512157685186
112;0.3667654901328548
114;0.37071689064896407
116;0.37406172744126936
118;0.37741138395819024
120;0.38045415432784574
122;0.3834818254336195
124;0.3861470181386186
126;0.38910774042648266
128;0.3917168212372416
130;0.3944654300959402
132;0.39673493122135034
134;0.39891481287608904
136;0.4012320289531079
138;0.40330279363725013
140;0.40519031018229923
142;0.4069105739483071
144;0.4086626757419706
146;0.4105673788553162
148;0.41228856626715504
150;0.4138244445802695
152;0.4151702683465853
154;0.41652592888190665
156;0.4179234856712978
158;0.4192581284517398
160;0.4206234933591262
