thickness (mm); voltage (kV)
0.2;50
0.30000000000000004;60
0.4000000000000001;76
0.5000000000000001;90
0.6000000000000001;100
0.7000000000000002;114
0.8000000000000003;126
0.9000000000000001;136
1.0000000000000002;140
1.1000000000000003;150
1.2000000000000004;160
1.3000000000000003;160
1.4000000000000004;160
1.5000000000000004;160
1.6000000000000003;160
1.7000000000000004;160
1.8000000000000005;160
1.9000000000000006;160
2.000000000000001;160
2.1000000000000005;160
2.200000000000001;160
2.3000000000000007;160
2.400000000000001;160
2.500000000000001;160
