energy (keV); transmission
1.0; 0.0
1.1; 0.0
1.2000000000000002; 0.0
1.3000000000000003; 0.0
1.4000000000000004; 0.0
1.5000000000000004; 0.0
1.6000000000000005; 0.0
1.7000000000000006; 0.0
1.8000000000000007; 0.0
1.9000000000000008; 0.0
2.000000000000001; 0.0
2.100000000000001; 0.0
2.200000000000001; 0.0
2.300000000000001; 0.0
2.4000000000000012; 0.0
2.5000000000000013; 0.0
2.6000000000000014; 0.0
2.7000000000000015; 0.0
2.8000000000000016; 0.0
2.9000000000000017; 0.0
3.0000000000000018; 0.0
3.100000000000002; 0.0
3.200000000000002; 0.0
3.300000000000002; 0.0
3.400000000000002; 0.0
3.500000000000002; 0.0
3.6000000000000023; 0.0
3.7000000000000024; 0.0
3.8000000000000025; 0.0
3.9000000000000026; 0.0
4.000000000000003; 0.0
4.100000000000003; 0.0
4.200000000000003; 0.0
4.3000000000000025; 0.0
4.400000000000003; 0.0
4.5000000000000036; 9.523490130163051e-307
4.600000000000003; 1.5894675732158376e-288
4.700000000000003; 1.0393509592285963e-271
4.800000000000003; 3.593342132417914e-256
4.900000000000004; 8.58571429567423e-242
5.0000000000000036; 1.8018063822951282e-228
5.100000000000003; 4.120996823509765e-216
5.200000000000004; 1.2504582698564405e-204
5.300000000000004; 6.007379234135806e-194
5.400000000000004; 5.353802020661592e-184
5.5000000000000036; 1.0204730730207986e-174
5.600000000000004; 4.728406830405267e-166
5.700000000000005; 5.977780943866698e-158
5.800000000000004; 2.2885575956697e-150
5.900000000000004; 2.915773697801699e-143
6.000000000000004; 1.3466391009767603e-136
6.100000000000005; 2.434989703886159e-130
6.200000000000005; 1.8506907260265607e-124
6.300000000000004; 6.303652636868743e-119
6.400000000000005; 1.0201644077708932e-113
6.500000000000005; 8.27517055674752e-109
6.600000000000005; 3.533057642830126e-104
6.700000000000005; 8.303304610254648e-100
6.800000000000005; 1.1192576411622233e-95
6.900000000000006; 8.986407032217724e-92
7.000000000000005; 4.449377069535908e-88
7.100000000000005; 1.4026642609987485e-84
7.2000000000000055; 2.720917658110783e-81
7.300000000000006; 3.7979467121796763e-78
7.400000000000006; 3.6626878244619136e-75
7.500000000000005; 2.497802444604551e-72
7.600000000000006; 1.2307289620213223e-69
7.700000000000006; 4.469569521058752e-67
7.800000000000006; 1.2186881730141405e-64
7.900000000000006; 2.5380036816185933e-62
8.000000000000007; 4.101907004785284e-60
8.100000000000007; 5.222981132638273e-58
8.200000000000006; 5.310538186303708e-56
8.300000000000006; 4.367246112763107e-54
8.400000000000006; 2.9397741033582514e-52
8.500000000000007; 1.6379506748183757e-50
8.600000000000007; 7.632964963172773e-49
8.700000000000006; 3.004152740541272e-47
8.800000000000008; 1.0077328811036899e-45
8.900000000000007; 2.905826993453816e-44
9.000000000000007; 7.260516550523986e-43
9.100000000000007; 1.5837787760920872e-41
9.200000000000006; 3.0374235573582714e-40
9.300000000000008; 5.155463942761989e-39
9.400000000000007; 7.792479986215814e-38
9.500000000000007; 1.0550220664003112e-36
9.600000000000009; 1.286492293797622e-35
9.700000000000008; 1.4202158124352952e-34
9.800000000000008; 1.4263103372584765e-33
9.900000000000007; 1.3091076181145456e-32
10.000000000000007; 1.1028427442485374e-31
10.100000000000009; 8.561697352454978e-31
10.200000000000008; 6.149384929913331e-30
10.300000000000008; 4.1012072647682786e-29
10.40000000000001; 2.548558321538064e-28
10.500000000000009; 1.4804454097935002e-27
10.600000000000009; 8.063807254721788e-27
10.700000000000008; 4.1304792757179227e-26
10.800000000000008; 1.9951161989143265e-25
10.90000000000001; 9.111181108921395e-25
11.000000000000009; 3.9435880417033735e-24
11.100000000000009; 1.6215651352736677e-23
11.20000000000001; 6.348428551142057e-23
11.30000000000001; 2.3713767727570008e-22
11.40000000000001; 8.468458112306473e-22
11.500000000000009; 2.8966815668442825e-21
11.600000000000009; 9.507618239279298e-21
11.70000000000001; 2.9995794740449854e-20
11.80000000000001; 9.111148958582027e-20
11.90000000000001; 2.6685909430674117e-19
12.00000000000001; 7.547903376026348e-19
12.10000000000001; 2.0644993430888925e-18
12.20000000000001; 5.4679791776428954e-18
12.30000000000001; 1.4041541917103234e-17
12.40000000000001; 3.500296419910801e-17
12.50000000000001; 8.480054203184508e-17
12.60000000000001; 1.9988247650116932e-16
12.70000000000001; 4.588699877657178e-16
12.800000000000011; 1.0270206654386104e-15
12.900000000000011; 2.243155442267731e-15
13.00000000000001; 4.785503205185342e-15
13.10000000000001; 9.980759888108726e-15
13.20000000000001; 2.0367150551937268e-14
13.300000000000011; 4.069814353066599e-14
13.400000000000011; 7.969451957290142e-14
13.50000000000001; 1.5304155353632885e-13
13.600000000000012; 2.884172342692286e-13
13.700000000000012; 5.337709188927171e-13
13.800000000000011; 9.707090405333212e-13
13.900000000000011; 1.7357636805929609e-12
14.00000000000001; 3.0536216340963103e-12
14.100000000000012; 5.288202743434872e-12
14.200000000000012; 9.019952745070958e-12
14.300000000000011; 1.5161045451829113e-11
14.400000000000013; 2.5124592702488716e-11
14.500000000000012; 4.106969193725156e-11
14.600000000000012; 6.625148481941513e-11
14.700000000000012; 1.0551466606082784e-10
14.800000000000011; 1.659803976870258e-10
14.900000000000013; 2.5799068609386716e-10
15.000000000000012; 3.9639129701933605e-10
15.100000000000012; 6.022605339870994e-10
15.200000000000014; 9.051838757363902e-10
15.300000000000013; 1.3462688250433509e-09
15.400000000000013; 1.9820477259203016e-09
15.500000000000012; 2.889502482531428e-09
15.600000000000012; 4.172465657155087e-09
15.700000000000014; 5.96969716854984e-09
