thickness (mm);transmission
0.1; 0.6818479873694793
0.11; 0.6562303605905355
0.12; 0.6315752105130588
0.13; 0.6078463760434059
0.13999999999999999; 0.5850090546919307
0.14999999999999997; 0.5630297515290401
0.15999999999999998; 0.541876230059017
0.16999999999999998; 0.5215174649395553
0.17999999999999997; 0.5019235964776647
0.18999999999999995; 0.4830658868352039
0.19999999999999996; 0.4649166778798096
0.20999999999999996; 0.4474493506194044
0.21999999999999995; 0.4306382861607844
0.22999999999999995; 0.41445882813502805
0.23999999999999994; 0.3988872465346146
0.24999999999999992; 0.38390070290921413
0.2599999999999999; 0.3694772168691018
0.2699999999999999; 0.3555956338470688
0.2799999999999999; 0.34223559407154647
0.2899999999999999; 0.3293775027054364
0.29999999999999993; 0.3170025011068527
0.30999999999999994; 0.3050924391696213
0.3199999999999999; 0.29362984870297276
0.32999999999999985; 0.2825979178113819
0.33999999999999986; 0.27198046623698036
0.34999999999999987; 0.2617619216283761
0.3599999999999999; 0.2519272967010737
0.3699999999999999; 0.24246216725599815
0.3799999999999999; 0.233352651023882
0.3899999999999999; 0.22458538730448704
0.3999999999999998; 0.21614751737079876
0.4099999999999998; 0.2080266656094517
0.4199999999999998; 0.20021092136972676
0.4299999999999998; 0.1926888214944963
0.43999999999999984; 0.1854493335074977
0.44999999999999984; 0.17848183943227558
0.45999999999999985; 0.17177612021906075
0.46999999999999986; 0.1653223407567444
0.47999999999999976; 0.1591110354479665
0.48999999999999977; 0.1531330943261596
0.4999999999999998; 0.1473797496941887
0.5099999999999998; 0.14184256326498834
0.5199999999999998; 0.13651341378533727
0.5299999999999998; 0.13138448512461914
0.5399999999999998; 0.12644825481109864
0.5499999999999998; 0.1216974829988997
0.5599999999999997; 0.11712520184950437
0.5699999999999997; 0.11272470531219747
0.5799999999999997; 0.10848953928846981
0.5899999999999997; 0.10441349216595255
0.5999999999999998; 0.1004905857080002
0.6099999999999998; 0.09671506628556034
0.6199999999999998; 0.09308139643846913
0.6299999999999997; 0.08958424675379692
0.6399999999999997; 0.08621848804933072
0.6499999999999997; 0.0829791838507312
0.6599999999999997; 0.07986158315132856
0.6699999999999997; 0.07686111344393949
0.6799999999999997; 0.07397337401448521
0.6899999999999997; 0.07119412948757363
0.6999999999999996; 0.06851930361458014
0.7099999999999996; 0.06594497329511512
0.7199999999999996; 0.06346736282311084
0.7299999999999996; 0.061082838349087225
0.7399999999999997; 0.05878790255047565
0.7499999999999997; 0.05657918950218309
0.7599999999999997; 0.054453459739873686
0.7699999999999997; 0.05240759550872739
0.7799999999999997; 0.05043859619070648
0.7899999999999996; 0.04854357390362422
0.7999999999999996; 0.04671974926555975
0.8099999999999996; 0.0449644473184083
0.8199999999999996; 0.04327509360458664
0.8299999999999996; 0.04164921039114037
0.8399999999999996; 0.04008441303571491
0.8499999999999996; 0.0385784064890599
0.8599999999999995; 0.03712898192893787
0.8699999999999996; 0.03573401352049954
0.8799999999999996; 0.034391455298375125
0.8899999999999996; 0.033099338165907745
0.8999999999999996; 0.03185576700712862
0.9099999999999996; 0.03065891790723769
0.9199999999999996; 0.02950703547751322
0.9299999999999996; 0.028398430280727072
0.9399999999999996; 0.027331476353289128
0.9499999999999995; 0.026304608820487175
0.9599999999999995; 0.025316321601324052
0.9699999999999995; 0.02436516519958637
0.9799999999999995; 0.02344974457790449
0.9899999999999995; 0.022568717111685985
0.9999999999999996; 0.02172079061992172
1.0099999999999996; 0.0209047214699761
1.0199999999999996; 0.020119312753582218
1.0299999999999996; 0.01936341253136623
1.0399999999999996; 0.018635912143326713
1.0499999999999996; 0.01793574458279062
1.0599999999999996; 0.01726188293146127
1.0699999999999996; 0.016613338853262834
1.0799999999999996; 0.015989161144772533
1.0899999999999996; 0.015388434340114214
1.0999999999999996; 0.01481027736826748
1.1099999999999997; 0.01425384226082274
1.1199999999999997; 0.01371831290828713
1.1299999999999997; 0.013202903863117016
1.1399999999999997; 0.01270685918772175
1.1499999999999995; 0.012229451345748831
1.1599999999999995; 0.011769980135024435
1.1699999999999995; 0.01132777166058445
1.1799999999999995; 0.010902177346289435
1.1899999999999995; 0.01049257298357426
1.1999999999999995; 0.010098357815936931
1.2099999999999995; 0.009718953657824025
1.2199999999999995; 0.009353804046620331
1.2299999999999995; 0.009002373426499063
1.2399999999999995; 0.008664146362935455
1.2499999999999996; 0.008338626786731805
1.2599999999999996; 0.008025337266445167
1.2699999999999996; 0.007723818308150527
1.2799999999999996; 0.007433627681512577
1.2899999999999996; 0.007154339771177479
1.2999999999999994; 0.00688554495253345
1.3099999999999994; 0.006626848990924553
1.3199999999999994; 0.006377872463436566
1.3299999999999994; 0.006138250202406871
1.3399999999999994; 0.005907630759842136
1.3499999999999994; 0.0056856758919583165
1.3599999999999994; 0.005472060063086917
1.3699999999999994; 0.005266469968219975
1.3799999999999994; 0.0050686040734934015
1.3899999999999995; 0.004878172173934786
1.3999999999999995; 0.004694894967827011
1.4099999999999995; 0.004518503647063368
1.4199999999999995; 0.004348739502893442
1.4299999999999995; 0.004185353546481421
1.4399999999999995; 0.004028106143720389
1.4499999999999995; 0.003876766663766945
1.4599999999999995; 0.003731113140780718
1.4699999999999993; 0.0035909319483725965
1.4799999999999993; 0.003456017486284221
1.4899999999999993; 0.0033261718788392355
1.4999999999999993; 0.0032012046847239447
1.5099999999999993; 0.0030809326176718106
1.5199999999999994; 0.0029651792776420444
1.5299999999999994; 0.002853774892098073
1.5399999999999994; 0.002746556067006383
1.5499999999999994; 0.002643365547190583
1.5599999999999994; 0.00254405198568915
