thickness (mm);transmission
0.1;0.7884802837813004
0.12000000000000001;0.7578147941808372
0.14;0.7293589780645598
0.16000000000000003;0.7028469440540406
0.18000000000000002;0.6780600713484332
0.2;0.6548154597261087
0.22000000000000003;0.6329580931062543
0.24000000000000002;0.6123552116162085
0.26;0.5928921182218805
0.28;0.5744689718766505
0.30000000000000004;0.5569982862124033
0.32000000000000006;0.540402947500922
0.3400000000000001;0.5246146233335777
0.3600000000000001;0.5095724705696197
0.38;0.49522207593054496
0.4;0.4815145797576408
0.42000000000000004;0.4684059455808053
0.44000000000000006;0.4558563469103134
0.4600000000000001;0.44382964910383516
0.4800000000000001;0.4322929689650509
0.5000000000000001;0.4212162983601502
0.5200000000000001;0.410572180913075
0.54;0.4003354329831951
0.56;0.3904829017997201
0.5800000000000001;0.38099325494087855
0.6000000000000001;0.3718467963872481
0.6200000000000001;0.3630253052101834
0.6400000000000001;0.35451189362486396
0.66;0.3462908816785227
0.68;0.3383476862848379
0.7000000000000001;0.3306687226760126
0.7200000000000001;0.3232413166408101
0.7400000000000001;0.31605362616223914
0.7600000000000001;0.3090945712725298
0.7800000000000001;0.30235377111328265
0.8000000000000002;0.2958214873313781
0.8200000000000002;0.28948857306133124
0.8400000000000001;0.2833464268462308
0.8600000000000001;0.27738695093543164
0.8800000000000001;0.271602513470368
0.9000000000000001;0.26598591413231754
0.9200000000000002;0.2605303528794611
0.9400000000000002;0.2552294014465337
0.9600000000000002;0.2500769773199449
0.9800000000000001;0.24506731993544248
1.0000000000000002;0.24019496887501007
1.0200000000000002;0.2354547438654081
1.0400000000000003;0.23084172640315107
1.0600000000000003;0.22635124285025213
1.0800000000000003;0.22197884886215308
1.1000000000000003;0.2177203150242291
1.1200000000000003;0.2135716135864164
1.1400000000000003;0.20952890619708997
1.1600000000000004;0.20558853254753467
1.1800000000000004;0.20174699984737532
1.2000000000000004;0.19800097305932696
1.2200000000000002;0.19434726582871578
1.2400000000000002;0.1907828320495167
1.2600000000000002;0.18730475801426655
1.2800000000000002;0.183910255100207
1.3000000000000003;0.18059665294847563
1.3200000000000003;0.17736139309716206
1.3400000000000003;0.1742020230326171
1.3600000000000003;0.17111619062661687
1.3800000000000003;0.168101638929866
1.4000000000000004;0.16515620129491684
1.4200000000000004;0.16227779680392143
1.4400000000000004;0.15946442597874175
1.4600000000000004;0.1567141667528436
1.4800000000000004;0.1540251706861311
1.5000000000000004;0.15139565940542932
1.5200000000000005;0.14882392125474533
1.5400000000000005;0.14630830814071483
1.5600000000000003;0.14384723255981494
1.5800000000000003;0.14143916479498042
1.6000000000000003;0.13908263027023102
1.6200000000000003;0.13677620705279384
1.6400000000000003;0.1345185234930199
1.6600000000000004;0.13230825599311363
1.6800000000000004;0.13014412689638324
1.7000000000000004;0.12802490248932158
1.7200000000000004;0.12594939110939984
1.7400000000000004;0.12391644135196812
1.7600000000000005;0.12192494037013765
1.7800000000000005;0.11997381226194834
1.8000000000000005;0.1180620165395336
1.8200000000000005;0.11618854667535955
1.8400000000000005;0.1143524287209562
1.8600000000000003;0.11255271999387487
1.8800000000000003;0.11078850782889008
1.9000000000000004;0.10905890838973785
1.9200000000000004;0.10736306553792466
1.9400000000000004;0.10570014975536958
1.9600000000000004;0.10406935711785825
1.9800000000000004;0.102469908316477
2.0000000000000004;0.10090104772438137
2.0200000000000005;0.09936204250641979
2.0400000000000005;0.09785218176928866
2.0600000000000005;0.09637077575004302
2.0800000000000005;0.0949171550409177
2.1000000000000005;0.0934906698485434
2.1200000000000006;0.09209068928575591
2.1400000000000006;0.09071660069430681
2.1600000000000006;0.08936780899688428
2.1800000000000006;0.08804373607694906
2.2000000000000006;0.08674382018497516
2.2200000000000006;0.08546751536977142
2.2400000000000007;0.08421429093363206
2.2600000000000007;0.08298363091014198
2.2800000000000007;0.08177503356352281
2.3000000000000007;0.08058801090847459
2.3200000000000007;0.07942208824952281
2.3400000000000003;0.07827680373893736
2.3600000000000003;0.0771517079523413
2.3800000000000003;0.07604636348117418
2.4000000000000004;0.07496034454122347
2.4200000000000004;0.07389323659647536
2.4400000000000004;0.07284463599758101
2.4600000000000004;0.07181414963426849
2.4800000000000004;0.07080139460106671
2.5000000000000004;0.0698059978757428
2.5200000000000005;0.06882759600988178
2.5400000000000005;0.06786583483107105
2.5600000000000005;0.06692036915617579
2.5800000000000005;0.06599086251522136
2.6000000000000005;0.06507698688541928
2.6200000000000006;0.06417842243490028
2.6400000000000006;0.0632948572757372
2.6600000000000006;0.062425987225861734
2.6800000000000006;0.061571515579499685
2.7000000000000006;0.06073115288576538
2.7200000000000006;0.059904616735075945
2.7400000000000007;0.0590916315530601
2.7600000000000007;0.05829192840165351
2.7800000000000007;0.057505244787085956
2.8000000000000007;0.056731324474480906
2.8200000000000007;0.05596991730879959
2.8400000000000007;0.05522077904187525
2.8600000000000008;0.05448367116529529
2.880000000000001;0.05375836074889842
2.900000000000001;0.053044620284666735
2.920000000000001;0.05234222753580113
2.940000000000001;0.051650965390778715
2.960000000000001;0.05097062172219933
2.980000000000001;0.05030098925023764
3.0000000000000004;0.049641865410524594
3.0200000000000005;0.04899305222629051
3.0400000000000005;0.04835435618460882
