energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 1224.7972303486365; 3233.4646881204003; 0.006185315730670904
1.5; 430.3845009367683; 1136.2150824730684; 0.017602301103474445
2.0; 2314.9876564871806; 6111.567413126158; 0.003272482924273219
3.0; 807.4008832387835; 2131.538331750389; 0.009382894833318004
4.0; 369.83540606855314; 976.3654720209803; 0.02048413281002448
5.0; 198.636595263347; 524.4006114952361; 0.03813878085110068
6.0; 118.5052881491166; 312.85396071366785; 0.06392759086180956
8.0; 51.79683848142058; 136.74365359095034; 0.14625907290606133
10.0; 27.000851031686533; 71.28224672365245; 0.2805747702865785
15.0; 8.200234571500307; 21.64861926876081; 0.9238464472817541
20.0; 3.5471222947533465; 9.364402858148836; 2.1357475007171596
30.0; 1.160159783090188; 3.0628218273580963; 6.529926037928049
40.0; 0.5820895169378273; 1.5367163247158642; 13.014763804046892
50.0; 0.3754340651105222; 0.9911459318917786; 20.178663258826518
60.0; 0.28225315785047; 0.7451483367252408; 26.840293421166983
80.0; 0.20396485956581845; 0.5384672292537607; 37.14246459848108
100.0; 0.17178977586916505; 0.45352500829459574; 44.099001453539735
150.0; 0.13858293781929096; 0.36585895584292816; 54.66587514284185
200.0; 0.12286069569416996; 0.3243522366326087; 61.661359908098454
